,discord image,imkg image,score,timestamp,channel
0,https://cdn.discordapp.com/attachments/1043809953200218162/1111068704512409620/4v8809.jpg,https://i.imgflip.com/287qcu.jpg,0.7356554,2023-05-24T23:10:21.857+00:00,memeplex
1,https://cdn.discordapp.com/attachments/1043809953200218162/1110318148076437535/ZomboMeme_22052023182727.jpg,https://i.imgflip.com/2sr84j.jpg,0.72421306,2023-05-22T21:27:55.494+00:00,memeplex
2,https://cdn.discordapp.com/attachments/1043809953200218162/1110196793158946826/ZomboMeme_20052023073952.jpg,https://i.imgflip.com/429rd9.jpg,0.72220737,2023-05-22T13:25:41.995+00:00,memeplex
3,https://cdn.discordapp.com/attachments/1043809953200218162/1110196003618951299/ZomboMeme_22052023101927.jpg,https://i.imgflip.com/2nz2d1.jpg,0.84269947,2023-05-22T13:22:33.758+00:00,memeplex
4,https://cdn.discordapp.com/attachments/1043809953200218162/1110147925008465950/ZomboMeme_22052023070932.jpg,https://i.imgflip.com/2lbscf.jpg,0.7982892,2023-05-22T10:11:30.87+00:00,memeplex
5,https://cdn.discordapp.com/attachments/1043809953200218162/1109906109461954630/wyoming_not_here.png,https://i.imgflip.com/482djg.jpg,0.79338497,2023-05-21T18:10:37.627+00:00,memeplex
6,https://cdn.discordapp.com/attachments/1043809953200218162/1109652028138987570/ZomboMeme_20052023073952.jpg,https://i.imgflip.com/429rd9.jpg,0.72220737,2023-05-21T01:20:59.906+00:00,memeplex
7,https://cdn.discordapp.com/attachments/1043809953200218162/1109174172912992476/Snapchat-544246049.jpg,https://i.imgflip.com/10ynwv.jpg,0.63838804,2023-05-19T17:42:10.35+00:00,memeplex
8,https://cdn.discordapp.com/attachments/1043809953200218162/1106574575933861909/IMG_5174.jpg,https://i.imgflip.com/3d6449.jpg,0.7438179,2023-05-12T13:32:18.124+00:00,memeplex
9,https://cdn.discordapp.com/attachments/1043809953200218162/1105841626288492574/7l8664.jpg,https://i.imgflip.com/6kirrl.jpg,0.6494283,2023-05-10T12:59:49.301+00:00,memeplex
10,https://cdn.discordapp.com/attachments/1043809953200218162/1105731527708520518/2CEDD0EC-68F9-4485-8EA8-A730CA7E4C03.jpg,https://i.imgflip.com/267bdp.jpg,0.8056948,2023-05-10T05:42:19.759+00:00,memeplex
11,https://cdn.discordapp.com/attachments/1043809953200218162/1105724729396051968/unknown.png,https://i.imgflip.com/267bdp.jpg,0.8052758,2023-05-10T05:15:18.931+00:00,memeplex
12,https://cdn.discordapp.com/attachments/1043809953200218162/1105706560417710111/unknown.png,https://i.imgflip.com/267bdp.jpg,0.8052758,2023-05-10T04:03:07.099+00:00,memeplex
13,https://cdn.discordapp.com/attachments/1043809953200218162/1105469184781070376/IMG_20230507_210940.jpg,https://i.imgflip.com/1wpgs6.jpg,0.65102565,2023-05-09T12:19:52.332+00:00,memeplex
14,https://cdn.discordapp.com/attachments/1043809953200218162/1105180037843533934/IMG_5174.jpg,https://i.imgflip.com/3d6449.jpg,0.7438179,2023-05-08T17:10:54.329+00:00,memeplex
15,https://cdn.discordapp.com/attachments/1043809953200218162/1104445264749662352/Screenshot_20230506_182935_com.reddit.frontpage_edit_19613493475131.jpg,https://i.imgflip.com/10092d.jpg,0.6305751,2023-05-06T16:31:10.78+00:00,memeplex
16,https://cdn.discordapp.com/attachments/1043809953200218162/1104419232621535272/Finally_X_04052023193654.jpg,https://i.imgflip.com/41thzf.jpg,0.75773275,2023-05-06T14:47:44.232+00:00,memeplex
17,https://cdn.discordapp.com/attachments/1043809953200218162/1104413652737601626/7krv6c.png,https://i.imgflip.com/100329.jpg,0.74325377,2023-05-06T14:25:33.907+00:00,memeplex
18,https://cdn.discordapp.com/attachments/1043809953200218162/1104412798236246137/7keecr.png,https://i.imgflip.com/25monu.jpg,0.91991895,2023-05-06T14:22:10.154+00:00,memeplex
19,https://cdn.discordapp.com/attachments/1043809953200218162/1104072359293497425/Fk_X_All_My_Homies_Use_Y_05052023210231.jpg,https://i.imgflip.com/48v9s4.jpg,0.83258986,2023-05-05T15:49:23.197+00:00,memeplex
20,https://cdn.discordapp.com/attachments/1043809953200218162/1103833343562367026/Fun_Facts_with_Squidward_04052023194035.jpg,https://i.imgflip.com/405vf1.jpg,0.807219,2023-05-04T23:59:37.387+00:00,memeplex
21,https://cdn.discordapp.com/attachments/1043809953200218162/1102926011554865212/7k8hxe.png,https://i.imgflip.com/13uwz9.jpg,0.8624964,2023-05-02T11:54:12.594+00:00,memeplex
22,https://cdn.discordapp.com/attachments/1043809953200218162/1102248538051707030/7k18ri.png,https://i.imgflip.com/22mzk5.jpg,0.7966132,2023-04-30T15:02:10.315+00:00,memeplex
23,https://cdn.discordapp.com/attachments/1043809953200218162/1101958441888649246/bwckokb3ngwa1.png,https://i.imgflip.com/6ao5p5.jpg,0.78042597,2023-04-29T19:49:25.997+00:00,memeplex
24,https://cdn.discordapp.com/attachments/1043809953200218162/1101904124368408657/7jycco.png,https://i.imgflip.com/3lowsd.jpg,0.84747344,2023-04-29T16:13:35.676+00:00,memeplex
25,https://cdn.discordapp.com/attachments/1043809953200218162/1101903642526744676/7jyc3i.png,https://i.imgflip.com/1ng3cx.jpg,0.8314075,2023-04-29T16:11:40.775+00:00,memeplex
26,https://cdn.discordapp.com/attachments/1043809953200218162/1101567379609231430/Screenshot_20230426-081922_Reddit.jpg,https://i.imgflip.com/100pin.jpg,0.6019501,2023-04-28T17:55:29.482+00:00,memeplex
27,https://cdn.discordapp.com/attachments/951496889616977951/1123702058864877628/FB_IMG_1687981547582.jpg,https://i.imgflip.com/32isi0.jpg,0.8270323,2023-06-28T19:50:48.255+00:00,WeebCommunity
28,https://cdn.discordapp.com/attachments/951496889616977951/1123517744650932254/FB_IMG_1687937588884.jpg,https://i.imgflip.com/26cqmy.jpg,0.60875463,2023-06-28T07:38:24.328+00:00,WeebCommunity
